timestamp,total_people,contract_count,your_position,your_contract_position
2025-08-02 15:56:12,1263,242,812,147
2025-08-02 15:56:41,1263,242,812,147
2025-08-02 13:22:24,1263,242,812,147
2025-08-02 13:22:26,1263,242,812,147
2025-08-04 22:12:12,1266,256,812,158
2025-08-04 22:15:03,1266,256,812,158
2025-08-04 22:15:13,1266,256,812,158
